"場所の名前","カテゴリ","区名","所在地","TEL","避難可能時間","災害対策基本法に基づく指定","避難場所の対象とする災害","経度","緯度","分類"
"市営西喜連第5住宅6号館","防災関連施設 - 津波避難ビル・水害時避難ビル","平野区","喜連西４丁目５?6","","24時間","指定緊急避難場所","洪水","135.544528624744","34.61022789229","津波避難ビル・水害時避難ビル"
"市営茨田大宮第2住宅25号館","防災関連施設 - 津波避難ビル・水害時避難ビル","鶴見区","茨田大宮４丁目１５?25","","24時間","指定緊急避難場所","津波・洪水","135.596380869925","34.7114645866088","津波避難ビル・水害時避難ビル"
"市営南方住宅","防災関連施設 - 津波避難ビル・水害時避難ビル","東淀川区","東中島２丁目２１?１","","24時間","指定緊急避難場所","洪水","135.506356240049","34.7290829281235","津波避難ビル・水害時避難ビル"
"日本交通株式会社　弁天営業所","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","磯路２-23-27","","営業日の8:00～18:00","指定緊急避難場所","津波・洪水","135.457062004166","34.6660650010636","津波避難ビル・水害時避難ビル"
"メゾンシルク","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","磯路３-14-2","","土日祝を除く平日の9:00～17:00","指定緊急避難場所","津波・洪水","135.456940994647","34.6636060020812","津波避難ビル・水害時避難ビル"
"さざなみプラザ 第22号棟","防災関連施設 - 津波避難ビル・水害時避難ビル","北区","長柄東2-1-22","","平日9:00～17:00（土日祝除く）","指定緊急避難場所","津波・洪水","135.519758000816","34.7135259975817","津波避難ビル・水害時避難ビル"
"Grand Jet?（グランジュテ）","防災関連施設 - 津波避難ビル・水害時避難ビル","淀川区","木川西１-８-23","","24時間","指定緊急避難場所","津波・洪水","135.49077799656","34.7211079976605","津波避難ビル・水害時避難ビル"
"123鶴橋店","防災関連施設 - 津波避難ビル・水害時避難ビル","東成区","玉津３-12-３","","24時間（営業日に限る）","指定緊急避難場所","洪水","135.535034002975","34.6658889991948","津波避難ビル・水害時避難ビル"
"123緑橋店","防災関連施設 - 津波避難ビル・水害時避難ビル","東成区","東今里2-3-1","","8:30～23:30(営業時間中)","指定緊急避難場所","洪水","135.552349001371","34.6794259988966","津波避難ビル・水害時避難ビル"
"大阪市・八尾市・松原市環境施設組合　東淀工場","防災関連施設 - 津波避難ビル・水害時避難ビル","東淀川区","南江口3-16-6","","24時間","指定緊急避難場所","洪水","135.554358000688","34.7560930023828","津波避難ビル・水害時避難ビル"
"ベルコ大阪法宴会館","防災関連施設 - 津波避難ビル・水害時避難ビル","北区","本庄東1-1-50","","24時間","指定緊急避難場所","津波、洪水","135.510351997011","34.7114799985162","津波避難ビル・水害時避難ビル"
"株式会社眞鍋鉄工所","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","姫島5-7-28","","平日8時～16時","指定緊急避難場所","津波、洪水","135.45147500227","34.7029630000321","津波避難ビル・水害時避難ビル"
"ベルフィオーレ","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","柏里2-11-1","","24時間","指定緊急避難場所","津波、洪水","135.465961998862","34.7092040015244","津波避難ビル・水害時避難ビル"
"M’S TEMMA","防災関連施設 - 津波避難ビル・水害時避難ビル","北区","天満3-1-8","","土日祝及び年末年始、ＧＷ、お盆を除く22時から6時","指定緊急避難場所","津波、洪水","135.515391997859","34.6925499965642","津波避難ビル・水害時避難ビル"
"キコーナ市岡店","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","市岡２丁目５?１０","","営業日10時～23時","指定緊急避難場所","津波、洪水","135.458616000298","34.6628369996229","津波避難ビル・水害時避難ビル"
"田辺三菱製薬株式会社オフィス棟","防災関連施設 - 津波避難ビル・水害時避難ビル","淀川区","加島３丁目１６?８９","","24時間","指定緊急避難場所","津波、洪水","135.449015004894","34.7314979980534","津波避難ビル・水害時避難ビル"
"市営南港中住宅42号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","南港中５丁目３?４２","","24時間","指定緊急避難場所","津波、洪水","135.41967999473","34.6345280017397","津波避難ビル・水害時避難ビル"
"ライオンズマンション千鳥橋","防災関連施設 - 津波避難ビル・水害時避難ビル","此花区","伝法４－１?３","","24時間","指定緊急避難場所","津波、洪水","135.454153995892","34.6871630037935","津波避難ビル・水害時避難ビル"
"せいりょう姫島","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","姫島2－15－8","","24時間","指定緊急避難場所","津波、洪水","135.452662996737","34.7013930010555","津波避難ビル・水害時避難ビル"
"大阪私学会館","防災関連施設 - 津波避難ビル・水害時避難ビル","都島区","網島町６?２０","","月～金：9時～17時、土：9時～12時　","指定緊急避難場所","津波、洪水","135.524876997773","34.6935940031569","津波避難ビル・水害時避難ビル"
"シティハイツサルキ","防災関連施設 - 津波避難ビル・水害時避難ビル","北区","中崎西２丁目３?３６","","24時間","指定緊急避難場所","津波、洪水","135.50329700423","34.7062600006002","津波避難ビル・水害時避難ビル"
"学校法人大阪中華學校","防災関連施設 - 津波避難ビル・水害時避難ビル","浪速区","敷津東１丁目８?１３","","平日8：00～17：00","指定緊急避難場所","津波、洪水","135.498496001651","34.6581380039801","津波避難ビル・水害時避難ビル"
"大阪府立阪南高等学校","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","庭井２丁目１８?８１","","24時間","指定緊急避難場所","津波、洪水","135.516385996665","34.5952340007755","津波避難ビル・水害時避難ビル"
"ほくとクリニック病院","防災関連施設 - 津波避難ビル・水害時避難ビル","大正区","三軒家西１丁目１８?７","","24時間","指定緊急避難場所","津波、洪水","135.477805004768","34.664901000789","津波避難ビル・水害時避難ビル"
"市営長吉六反北住宅2号館","防災関連施設 - 津波避難ビル・水害時避難ビル","平野区","長吉六反4-8-2","","24時間","指定緊急避難場所","洪水","135.585320996206","34.6082689977992","津波避難ビル・水害時避難ビル"
"市営長吉六反北住宅1号館","防災関連施設 - 津波避難ビル・水害時避難ビル","平野区","長吉六反4-8-1","","24時間","指定緊急避難場所","洪水","135.584951999808","34.6088380016334","津波避難ビル・水害時避難ビル"
"市営秀野西住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","此花区","酉島1-5","","24時間","指定緊急避難場所","津波、洪水","135.445120003244","34.6850199989812","津波避難ビル・水害時避難ビル"
"市営波除第2住宅8号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","波除4-8","","24時間","指定緊急避難場所","津波、洪水","135.461764004967","34.6745819992873","津波避難ビル・水害時避難ビル"
"市営波除第2住宅7号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","波除4-8","","24時間","指定緊急避難場所","津波、洪水","135.462281998153","34.6747489998054","津波避難ビル・水害時避難ビル"
"市営波除第2住宅6号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","波除1-6-6","","24時間","指定緊急避難場所","津波、洪水","135.462032002265","34.675788002278","津波避難ビル・水害時避難ビル"
"市営波除第2住宅5号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","波除1-2","","24時間","指定緊急避難場所","津波、洪水","135.463069004284","34.6756800031361","津波避難ビル・水害時避難ビル"
"市営波除第2住宅4号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","波除1-6","","24時間","指定緊急避難場所","津波、洪水","135.462472994693","34.6754499981563","津波避難ビル・水害時避難ビル"
"市営波除第2住宅2号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","波除4-7","","24時間","指定緊急避難場所","津波、洪水","135.462722998142","34.6742279976403","津波避難ビル・水害時避難ビル"
"市営波除第2住宅1号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","波除4-5","","24時間","指定緊急避難場所","津波、洪水","135.46302100523","34.6737129991074","津波避難ビル・水害時避難ビル"
"市営池島住宅2号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","池島3-1-2","","24時間","指定緊急避難場所","津波、洪水","135.449226997067","34.6556450031751","津波避難ビル・水害時避難ビル"
"市営東淡路住宅2号館","防災関連施設 - 津波避難ビル・水害時避難ビル","東淀川区","東淡路3-5-2","","24時間","指定緊急避難場所","洪水","135.520691998782","34.7359500001904","津波避難ビル・水害時避難ビル"
"市営東淡路住宅1号館","防災関連施設 - 津波避難ビル・水害時避難ビル","東淀川区","東淡路3-5-1","","24時間","指定緊急避難場所","洪水","135.520942996385","34.736004004939","津波避難ビル・水害時避難ビル"
"市営千鳥橋住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","此花区","伝法2-2-2","","24時間","指定緊急避難場所","津波、洪水","135.457825075762","34.687450310043","津波避難ビル・水害時避難ビル"
"ファミリープラザ朝潮橋","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","三先2-20-1,2","","24時間","指定緊急避難場所","津波、洪水","135.453547003616","34.6573979991964","津波避難ビル・水害時避難ビル"
"パークコート","防災関連施設 - 津波避難ビル・水害時避難ビル","西成区","出城2-5-5","","24時間","指定緊急避難場所","津波、洪水","135.49119099607","34.6497070050294","津波避難ビル・水害時避難ビル"
"ダイヘン本社ビル","防災関連施設 - 津波避難ビル・水害時避難ビル","淀川区","田川2-1-11","","24時間","指定緊急避難場所","津波、洪水","135.473123004291","34.7201439971582","津波避難ビル・水害時避難ビル"
"福島リバーガーデン","防災関連施設 - 津波避難ビル・水害時避難ビル","福島区","吉野４-29-20","","24時間","指定緊急避難場所","津波、洪水","135.469793001964","34.6897090004822","津波避難ビル・水害時避難ビル"
"大阪府病院協会看護専門学校","防災関連施設 - 津波避難ビル・水害時避難ビル","浪速区","浪速西２丁目１３?９","","平日9:00～17:00","指定緊急避難場所","津波、洪水","135.485817996785","34.6563109966279","津波避難ビル・水害時避難ビル"
"サービス付き高齢者向け住宅　介護付き有料老人ホーム　北田辺輝きの郷","防災関連施設 - 津波避難ビル・水害時避難ビル","東住吉区","東住吉区北田辺１丁目９?９","","24時間","指定緊急避難場所","洪水","135.525504001832","34.6363590030859","津波避難ビル・水害時避難ビル"
"メンソーレやまのは","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","西淀川区姫島４丁目１５?３２","","24時間","指定緊急避難場所","津波、洪水","135.451571003666","34.7043779984831","津波避難ビル・水害時避難ビル"
"リブコート塚本","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","西淀川区歌島２丁目６?２","","24時間","指定緊急避難場所","津波、洪水","135.463158004348","34.7141850023006","津波避難ビル・水害時避難ビル"
"苅田土地改良記念会館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","住吉区苅田９丁目５?２７","","9:00～17:15（火・祝(※)・12月30日から１月４日・臨時休館日は除く）※祝日が日曜日と重なる場合は、その翌日","指定緊急避難場所","津波、洪水","135.516481000889","34.5974080009419","津波避難ビル・水害時避難ビル"
"出城第５住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","西成区","出城３?２","","24時間","指定緊急避難場所","津波、洪水","135.489558995423","34.6497169976477","津波避難ビル・水害時避難ビル"
"浪速第９住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","浪速区","浪速西４?１?50","","24時間","指定緊急避難場所","津波、洪水","135.487202995387","34.6539329973417","津波避難ビル・水害時避難ビル"
"市営浪速第７住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","浪速区","浪速東３?２?14","","24時間","指定緊急避難場所","津波、洪水","135.491964003531","34.6540400040418","津波避難ビル・水害時避難ビル"
"市営鴫野住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","城東区","鴫野西５?３?１","","24時間","指定緊急避難場所","津波、洪水","135.543613998228","34.6917000048026","津波避難ビル・水害時避難ビル"
"市営波除第２住宅３号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","波除１?５?３","","24時間","指定緊急避難場所","津波、洪水","135.462989999938","34.6748919987855","津波避難ビル・水害時避難ビル"
"市営西中島住宅1号館","防災関連施設 - 津波避難ビル・水害時避難ビル","淀川区","西中島３?11?１","","24時間","指定緊急避難場所","津波、洪水","135.500447999993","34.7272409997797","津波避難ビル・水害時避難ビル"
"市営飛鳥西住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","東淀川区","東中島３?６?１","","24時間","指定緊急避難場所","津波","135.506100997038","34.7310180039761","津波避難ビル・水害時避難ビル"
"市営生江住宅９号館","防災関連施設 - 津波避難ビル・水害時避難ビル","旭区","生江３?24?９","","24時間","指定緊急避難場所","津波、洪水","135.534366995394","34.7293300037192","津波避難ビル・水害時避難ビル"
"市営浅香住宅９号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","浅香２－１","","24時間","指定緊急避難場所","津波、洪水","135.506706999537","34.5915889985279","津波避難ビル・水害時避難ビル"
"市営日之出住宅10号館","防災関連施設 - 津波避難ビル・水害時避難ビル","東淀川区","西淡路２?６?10","","24時間","指定緊急避難場所","津波","135.506129996564","34.7363269997696","津波避難ビル・水害時避難ビル"
"市営秀野西住宅２号館","防災関連施設 - 津波避難ビル・水害時避難ビル","此花区","酉島１?12?２","","24時間","指定緊急避難場所","津波、洪水","135.443760998628","34.6845209966084","津波避難ビル・水害時避難ビル"
"市営浪速第６住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","浪速区","浪速西２?２","","24時間","指定緊急避難場所","津波、洪水","135.487897003816","34.6568509979938","津波避難ビル・水害時避難ビル"
"市営生江住宅13号館","防災関連施設 - 津波避難ビル・水害時避難ビル","旭区","生江３?17?13","","24時間","指定緊急避難場所","津波、洪水","135.535093997295","34.7282660044773","津波避難ビル・水害時避難ビル"
"市営柏里第２住宅４号館","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","柏里３?15?４","","24時間","指定緊急避難場所","津波、洪水","135.466258997511","34.7128820003558","津波避難ビル・水害時避難ビル"
"市営南港中住宅32号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","南港中２?８","","24時間","指定緊急避難場所","津波、洪水","135.42693399926","34.6278380027008","津波避難ビル・水害時避難ビル"
"市営新北島住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","新北島４?１","","24時間","指定緊急避難場所","津波、洪水","135.468784003041","34.6050429970488","津波避難ビル・水害時避難ビル"
"市営御幣島住宅６号館","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","御幣島６?７?６","","24時間","指定緊急避難場所","津波、洪水","135.454482994943","34.7205299990688","津波避難ビル・水害時避難ビル"
"市営御幣島住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","御幣島６?10?１","","24時間","指定緊急避難場所","津波、洪水","135.454230997373","34.7215010035561","津波避難ビル・水害時避難ビル"
"市営御崎第２住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","御崎６?７","","24時間","指定緊急避難場所","津波、洪水","135.479583002254","34.607761997978","津波避難ビル・水害時避難ビル"
"市営御崎住宅８号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","御崎２?14","","24時間","指定緊急避難場所","津波、洪水","135.477902005145","34.6114679982213","津波避難ビル・水害時避難ビル"
"市営小林住宅５号館","防災関連施設 - 津波避難ビル・水害時避難ビル","大正区","平尾２?23?５","","24時間","指定緊急避難場所","津波、洪水","135.473602997192","34.6421260033938","津波避難ビル・水害時避難ビル"
"市営平林南第２住宅２号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","平林南２?６","","24時間","指定緊急避難場所","津波、洪水","135.456767001273","34.6084719984814","津波避難ビル・水害時避難ビル"
"市営巽住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","生野区","巽中１?18?12","","24時間","指定緊急避難場所","津波、洪水","135.553587999594","34.6530320027711","津波避難ビル・水害時避難ビル"
"市営南港中住宅45号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","南港中５?３","","24時間","指定緊急避難場所","津波、洪水","135.41885800224","34.6350740006858","津波避難ビル・水害時避難ビル"
"市営南港中住宅44号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","南港中５?３","","24時間","指定緊急避難場所","津波、洪水","135.417973004236","34.6348479997773","津波避難ビル・水害時避難ビル"
"市営南港中住宅43号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","南港中５?３","","24時間","指定緊急避難場所","津波、洪水","135.418878004664","34.6345439983511","津波避難ビル・水害時避難ビル"
"市営南港中住宅41号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","南港中５?３","","24時間","指定緊急避難場所","津波、洪水","135.419679999321","34.6351239999066","津波避難ビル・水害時避難ビル"
"市営南港中住宅22号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","南港中２?５","","24時間","指定緊急避難場所","津波、洪水","135.428835995936","34.6280450042978","津波避難ビル・水害時避難ビル"
"市営南住吉第７住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","南住吉２?20","","24時間","指定緊急避難場所","津波、洪水","135.5018529949","34.6084539986482","津波避難ビル・水害時避難ビル"
"市営北村住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","大正区","北村２?14?１","","24時間","指定緊急避難場所","津波、洪水","135.46529799773","34.6517460042819","津波避難ビル・水害時避難ビル"
"市営八幡屋第２住宅４号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","八幡屋３?10?４","","24時間","指定緊急避難場所","津波、洪水","135.445695003426","34.6538049998314","津波避難ビル・水害時避難ビル"
"市営出来島住宅２号館","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","出来島３?３","","24時間","指定緊急避難場所","津波、洪水","135.432703001993","34.7044279970207","津波避難ビル・水害時避難ビル"
"市営住吉住宅６号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","帝塚山東５?３","","24時間","指定緊急避難場所","津波、洪水","135.498008000013","34.6149660020553","津波避難ビル・水害時避難ビル"
"市営上住吉住宅３号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","上住吉１－１","","24時間","指定緊急避難場所","津波、洪水","135.500537001071","34.6111390043566","津波避難ビル・水害時避難ビル"
"市営中加賀屋住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","中加賀屋１?９","","24時間","指定緊急避難場所","津波、洪水","135.48058999617","34.6204640027827","津波避難ビル・水害時避難ビル"
"市営三先住宅10号館","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","三先２?17?10","","24時間","指定緊急避難場所","津波、洪水","135.45122300086","34.6581569999249","津波避難ビル・水害時避難ビル"
"市営新北島住宅２号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住之江区","新北島４?１","","24時間","指定緊急避難場所","津波、洪水","135.467567000671","34.6053960008237","津波避難ビル・水害時避難ビル"
"市営東三国住宅３号館","防災関連施設 - 津波避難ビル・水害時避難ビル","淀川区","東三国３?９","","24時間","指定緊急避難場所","津波、洪水","135.500964005332","34.7458470051384","津波避難ビル・水害時避難ビル"
"市営鶴見第２住宅３号館","防災関連施設 - 津波避難ビル・水害時避難ビル","鶴見区","鶴見２-20-３","","24時間","指定緊急避難場所","津波、洪水","135.566034001188","34.6995359999133","津波避難ビル・水害時避難ビル"
"市営鶴町第３住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","大正区","鶴町３‐22","","24時間","指定緊急避難場所","津波、洪水","135.453621995336","34.6421300024517","津波避難ビル・水害時避難ビル"
"市営鶴町住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","大正区","鶴町４-２-１","","24時間","指定緊急避難場所","津波、洪水","135.456584996558","34.6439600047965","津波避難ビル・水害時避難ビル"
"市営飛鳥住宅２号館","防災関連施設 - 津波避難ビル・水害時避難ビル","東淀川区","東中島３-13-２","","24時間","指定緊急避難場所","津波、洪水","135.508897002513","34.730181004304","津波避難ビル・水害時避難ビル"
"市営長居西第2住宅４号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","長居西１-３-４","","24時間","指定緊急避難場所","津波、洪水","135.508835000107","34.6154760046798","津波避難ビル・水害時避難ビル"
"市営長居西第2住宅３号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","長居西１-３-３","","24時間","指定緊急避難場所","津波、洪水","135.508984001998","34.6150200031998","津波避難ビル・水害時避難ビル"
"市営長居西第2住宅２号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","長居西１-10-２","","24時間","指定緊急避難場所","津波、洪水","135.508724999147","34.6145369994396","津波避難ビル・水害時避難ビル"
"市営鶴見第２住宅２号館","防災関連施設 - 津波避難ビル・水害時避難ビル","鶴見区","鶴見２-21-２","","24時間","指定緊急避難場所","津波、洪水","135.566767000617","34.6996390000566","津波避難ビル・水害時避難ビル"
"市府営瓜破２丁目住宅３号館","防災関連施設 - 津波避難ビル・水害時避難ビル","平野区","瓜破２-４-３","","24時間","指定緊急避難場所","洪水","135.552941001223","34.6070370045073","津波避難ビル・水害時避難ビル"
"鶴見第２住宅４号館","防災関連施設 - 津波避難ビル・水害時避難ビル","鶴見区","鶴見２-16-４","","24時間","指定緊急避難場所","津波、洪水","135.565079997885","34.6994870005357","津波避難ビル・水害時避難ビル"
"特別養護老人ホーム　悠の里","防災関連施設 - 津波避難ビル・水害時避難ビル","大正区","小林東2-6-15","","24時間","指定緊急避難場所","津波、洪水","135.476298001109","34.6431369968728","津波避難ビル・水害時避難ビル"
"市営長居西第2住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","長居西１-10-１","","24時間","指定緊急避難場所","津波、洪水","135.508647569713","34.6142275116727","津波避難ビル・水害時避難ビル"
"市営苅田北住宅５号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","苅田４-７-５","","24時間","指定緊急避難場所","津波、洪水","135.522171996538","34.5997160021715","津波避難ビル・水害時避難ビル"
"市営苅田北住宅４号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","苅田４-７-４","","24時間","指定緊急避難場所","津波、洪水","135.521546995555","34.59972099967","津波避難ビル・水害時避難ビル"
"市営苅田北住宅２号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","苅田４-８-２","","24時間","指定緊急避難場所","津波、洪水","135.520275994738","34.599824002652","津波避難ビル・水害時避難ビル"
"市営苅田北住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","住吉区苅田４-９-１","","24時間","指定緊急避難場所","津波、洪水","135.519549003395","34.5998189967046","津波避難ビル・水害時避難ビル"
"市営苅田北住宅３号館","防災関連施設 - 津波避難ビル・水害時避難ビル","住吉区","苅田４-８-３","","24時間","指定緊急避難場所","津波、洪水","135.52084800267","34.5997899999673","津波避難ビル・水害時避難ビル"
"市営神崎橋住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","淀川区","加島４-19-２","","24時間","指定緊急避難場所","津波、洪水","135.450733997789","34.7319380030829","津波避難ビル・水害時避難ビル"
"市営瓜破２丁目住宅５号館","防災関連施設 - 津波避難ビル・水害時避難ビル","平野区","瓜破２-４-５","","24時間","指定緊急避難場所","洪水","135.552573998149","34.6074830034742","津波避難ビル・水害時避難ビル"
"市営瓜破２丁目住宅４号館","防災関連施設 - 津波避難ビル・水害時避難ビル","平野区","瓜破２-４-４","","24時間","指定緊急避難場所","洪水","135.553229997299","34.6074440004539","津波避難ビル・水害時避難ビル"
"市営瓜破２丁目住宅２号館","防災関連施設 - 津波避難ビル・水害時避難ビル","平野区","瓜破２-４-２","","24時間","指定緊急避難場所","洪水","135.552184002698","34.6066989974243","津波避難ビル・水害時避難ビル"
"市営瓜破２丁目住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","平野区","瓜破２-４-１","","24時間","指定緊急避難場所","洪水","135.55195199636","34.6069880030531","津波避難ビル・水害時避難ビル"
"市営瓜破東住宅３号館","防災関連施設 - 津波避難ビル・水害時避難ビル","平野区","瓜破東２-２","","24時間","指定緊急避難場所","洪水","135.559348000904","34.6075339992355","津波避難ビル・水害時避難ビル"
"市営歌島第２住宅２号棟","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","歌島３-６-２","","24時間","指定緊急避難場所","津波、洪水","135.459801004288","34.7131779984512","津波避難ビル・水害時避難ビル"
"市営歌島第２住宅１号棟","防災関連施設 - 津波避難ビル・水害時避難ビル","西淀川区","歌島３-６-１","","24時間","指定緊急避難場所","津波、洪水","135.459264997351","34.7134179985992","津波避難ビル・水害時避難ビル"
"市営春日出中第２住宅１号館","防災関連施設 - 津波避難ビル・水害時避難ビル","此花区","春日出中１?５?４","","２４時間","指定緊急避難場所","津波、洪水","135.452588996725","34.6790819975437","津波避難ビル・水害時避難ビル"
