"場所の名前","カテゴリ","区名","所在地","TEL","避難可能時間","災害対策基本法に基づく指定","避難場所の対象とする災害","経度","緯度","分類"
"港大阪祭典","防災関連施設 - 津波避難ビル・水害時避難ビル","港区","福崎1-1-62","","営業日の8:00～18:00","指定緊急避難場所","津波・洪水","135.458020996566","34.6598460052099","津波避難ビル・水害時避難ビル"
"市営鶴見住宅２号館","防災関連施設 - 津波避難ビル・水害時避難ビル","鶴見区","鶴見２丁目８","","24時間","指定緊急避難場所","津波・洪水","135.562903003915","34.698269999438","津波避難ビル・水害時避難ビル"
"市営鶴見住宅8号館","防災関連施設 - 津波避難ビル・水害時避難ビル","鶴見区","鶴見1丁目2","","24時間","指定緊急避難場所","津波・洪水","135.560114309669","34.6977003895026","津波避難ビル・水害時避難ビル"
"市営鶴見住宅4号館","防災関連施設 - 津波避難ビル・水害時避難ビル","鶴見区","鶴見２丁目７","","24時間","指定緊急避難場所","津波・洪水","135.562988997712","34.6990170007568","津波避難ビル・水害時避難ビル"
"市営鶴見住宅3号館","防災関連施設 - 津波避難ビル・水害時避難ビル","鶴見区","鶴見２丁目７","","24時間","指定緊急避難場所","津波・洪水","135.561858186537","34.6989900059422","津波避難ビル・水害時避難ビル"
"市営鶴見住宅1号館","防災関連施設 - 津波避難ビル・水害時避難ビル","鶴見区","鶴見２丁目８","","24時間","指定緊急避難場所","津波・洪水","135.562035599735","34.6982641626304","津波避難ビル・水害時避難ビル"
"市営鴫野第2住宅2号館","防災関連施設 - 津波避難ビル・水害時避難ビル","城東区","城東区鴫野西３丁目６?B","","24時間","指定緊急避難場所","津波・洪水","135.543204996451","34.6939869983292","津波避難ビル・水害時避難ビル"
"市営鴫野第2住宅1号館","防災関連施設 - 津波避難ビル・水害時避難ビル","城東区","城東区鴫野西３丁目６?A","","24時間","指定緊急避難場所","津波・洪水","135.541054995282","34.6937420042406","津波避難ビル・水害時避難ビル"
"市営鴫野住宅5号館","防災関連施設 - 津波避難ビル・水害時避難ビル","城東区","鴫野西５-３","","24時間","指定緊急避難場所","津波・洪水","135.542515633108","34.6908696986277","津波避難ビル・水害時避難ビル"
"市営鴫野住宅4号館","防災関連施設 - 津波避難ビル・水害時避難ビル","城東区","鴫野西５-３","","24時間","指定緊急避難場所","津波・洪水","135.542579999695","34.6916010011299","津波避難ビル・水害時避難ビル"
"市営鴫野住宅3号館","防災関連施設 - 津波避難ビル・水害時避難ビル","城東区","鴫野西5-3","","24時間","指定緊急避難場所","津波・洪水","135.542852003755","34.6916420036458","津波避難ビル・水害時避難ビル"
"市営鴫野住宅2号館","防災関連施設 - 津波避難ビル・水害時避難ビル","城東区","鴫野西５-３","","24時間","指定緊急避難場所","津波・洪水","135.543667000822","34.6923480007337","津波避難ビル・水害時避難ビル"
"市営西宮原住宅1号館","防災関連施設 - 津波避難ビル・水害時避難ビル","淀川区","西宮原１丁目７","","24時間","指定緊急避難場所","津波・洪水","135.491099324061","34.7332694333091","津波避難ビル・水害時避難ビル"
"市営西喜連第5住宅7号館","防災関連施設 - 津波避難ビル・水害時避難ビル","平野区","喜連西４丁目４?4-7","","24時間","指定緊急避難場所","洪水","135.54417700161","34.6102969969165","津波避難ビル・水害時避難ビル"
