"場所の名前","カテゴリ","区名","所在地","TEL","避難可能時間","災害対策基本法に基づく指定","避難場所の対象とする災害","経度","緯度","分類"
"学校法人大阪中華學校","防災関連施設 - 一時避難場所・災害時避難所","浪速区","敷津東1丁目8-13","","","指定避難所","","135.49865100356","34.6581339986386","災害時避難所"
"海老江東公園","防災関連施設 - 一時避難場所・災害時避難所","福島区","海老江１-４","","24時間","指定緊急避難場所","地震","135.47537200183","34.6963349964449","一時避難場所"
"大阪府立平野支援学校","防災関連施設 - 一時避難場所・災害時避難所","平野区","長吉川辺３丁目4-115","06-6707-6731","24時間","指定緊急避難場所・指定避難所","地震、津波","135.577431164536","34.5987283457414","一時避難場所・災害時避難所"
"阪南播磨公園","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","阪南町6-3","","24時間","指定緊急避難場所","地震、津波","135.511401005115","34.6210120043765","一時避難場所"
"高倉三公園","防災関連施設 - 一時避難場所・災害時避難所","都島区","都島区高倉町3-13","","24時間","指定緊急避難場所","地震、津波","135.532801728409","34.7204870008214","一時避難場所"
"京橋公園","防災関連施設 - 一時避難場所・災害時避難所","都島区","東野田町2-6","","24時間","指定緊急避難場所","地震、津波","135.53111599921","34.6976489986215","一時避難場所"
"西梅田公園","防災関連施設 - 一時避難場所・災害時避難所","北区","梅田２","","24時間","指定緊急避難場所","地震","135.490909995703","34.6974659983781","一時避難場所"
"西天満どんぐり公園","防災関連施設 - 一時避難場所・災害時避難所","北区","西天満３","","24時間","指定緊急避難場所","地震、津波","135.507803997709","34.6959590001411","一時避難場所"
"銅座幼稚園","防災関連施設 - 一時避難場所・災害時避難所","中央区","内久宝寺町１-１-４","","24時間","指定緊急避難場所、指定避難所","地震、津波","135.518435997555","34.6777540010552","一時避難場所・災害時避難所"
"玉造幼稚園","防災関連施設 - 一時避難場所・災害時避難所","中央区","玉造１-９-10","","24時間","指定緊急避難場所、指定避難所","地震、津波","135.530582999101","34.6759369962629","一時避難場所・災害時避難所"
"桃園幼稚園","防災関連施設 - 一時避難場所・災害時避難所","中央区","谷町６-５-３４","","24時間","指定緊急避難場所・指定避難所","地震、津波","135.516058999533","34.6747750035318","一時避難場所・災害時避難所"
"帝塚山学院第２体育館","防災関連施設 - 一時避難場所・災害時避難所","住吉区","帝塚山西１-６-７","","","指定避難所","-","135.497762997366","34.6216010037449","一時避難場所・災害時避難所"
"市営大野住宅集会所（1階、2階）","防災関連施設 - 一時避難場所・災害時避難所","西淀川区","大野３-７-11","","","指定避難所","-","135.439455000746","34.6981050029107","災害時避難所"
"たまつ和ひろば","防災関連施設 - 一時避難場所・災害時避難所","東成区","玉津２-３","","24時間","指定緊急避難場所","地震、津波","135.53732899888","34.6695230005493","一時避難場所"
"平林泉公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","泉２－１","","24時間","指定緊急避難場所","地震","135.46217999943","34.6133160043672","一時避難場所"
"宗教法人法仙寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町7-35","","24時間","指定緊急避難場所","地震、津波","135.512817000313","34.6608210012792","一時避難場所"
"宗教法人鳳林寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","六万体町2-10","","24時間","指定緊急避難場所","地震、津波","135.515027002597","34.6597660001613","一時避難場所"
"宗教法人青蓮寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町3-19","","24時間","指定緊急避難場所","地震、津波","135.513047573928","34.6604008169302","一時避難場所"
"宗教法人銀山寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町6-26","","24時間","指定緊急避難場所","地震、津波","135.51284908708","34.6631198052917","一時避難場所"
"宗教法人清恩寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町5-9","","24時間","指定緊急避難場所","地震、津波","135.514020896278","34.662483461626","一時避難場所"
"宗教法人宗惠院","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉前町5-22","","24時間","指定緊急避難場所","地震、津波","135.515483612923","34.6619848691285","一時避難場所"
"宗教法人大安寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町7-25","","24時間","指定緊急避難場所","地震、津波","135.512846678763","34.6618068694691","一時避難場所"
"宗教法人大善寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町5-29","","24時間","指定緊急避難場所","地震、津波","135.513168544654","34.6626158288752","一時避難場所"
"宗教法人圓通寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町5-4","","24時間","指定緊急避難場所","地震、津波","135.513969664789","34.6631982556857","一時避難場所"
"宗教法人吉祥寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","六万体町1-20","","24時間","指定緊急避難場所","地震、津波","135.51496207932","34.6603120855737","一時避難場所"
"友淵小学校分校","防災関連施設 - 一時避難場所・災害時避難所","都島区","都島区友渕町1-3-187","","24時間","指定緊急避難場所","地震、津波","135.52252700247","34.7169590016772","一時避難場所・災害時避難所"
"住道南公園","防災関連施設 - 一時避難場所・災害時避難所","東住吉区","東住吉区住道矢田9-1","","24時間","指定緊急避難場所","地震、津波","135.540276999329","34.601727003876","一時避難場所・災害時避難所"
"えびえにし防災広場","防災関連施設 - 一時避難場所・災害時避難所","福島区","福島区海老江8-13","","24時間","指定緊急避難場所","地震","135.46836700004","34.6959009991221","一時避難場所"
"島屋西公園","防災関連施設 - 一時避難場所・災害時避難所","此花区","島屋５-１","","24時間","指定緊急避難場所","地震","135.435916999104","34.6684770020093","一時避難場所"
"島屋南公園","防災関連施設 - 一時避難場所・災害時避難所","此花区","島屋６-１","","24時間","指定緊急避難場所","地震","135.441277004661","34.670560998566","一時避難場所"
"桃谷中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山北3-13-44","6712-0017","24時間","指定緊急避難場所・指定避難所","地震、津波","135.533520639434","34.6550913726813","一時避難場所・災害時避難所"
"もと鶴橋中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山北4-9-22","6731-6340","24時間","指定緊急避難場所・指定避難所","地震、津波","135.537393958517","34.6563575754006","一時避難場所・災害時避難所"
"日本橋小中一貫校","防災関連施設 - 一時避難場所・災害時避難所","浪速区","日本橋西1-7-6","6633-3751","24時間","指定緊急避難場所・指定避難所","地震、津波","135.504000743314","34.6585661929954","一時避難場所・災害時避難所"
"咲洲みなみ小中一貫校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港中3-5-14","6614-0600","24時間","指定緊急避難場所・指定避難所","地震","135.425966135171","34.6285211434844","一時避難場所・災害時避難所"
"上福島北公園","防災関連施設 - 一時避難場所・災害時避難所","福島区","福島7-23","－","24時間","指定緊急避難場所","地震","135.486017776218","34.700802029058","一時避難場所"
"上福島公園","防災関連施設 - 一時避難場所・災害時避難所","福島区","福島7-10","－","24時間","指定緊急避難場所","地震","135.484712722037","34.6983576753065","一時避難場所"
"大野東公園","防災関連施設 - 一時避難場所・災害時避難所","福島区","野田2-8","－","24時間","指定緊急避難場所","地震","135.477964277531","34.6858840859891","一時避難場所"
"帝塚山学院","防災関連施設 - 一時避難場所・災害時避難所","住吉区","帝塚山中3-10-51","6672-1954","24時間","指定緊急避難場所","地震、津波","135.498424882639","34.6206006716252","一時避難場所"
"大野百鳥コミュニティ会館","防災関連施設 - 一時避難場所・災害時避難所","西淀川区","大野3-7-11","6211-0630","-","指定避難所","-","135.439598628427","34.6981076107307","災害時避難所"
"大谷中学校・高等学校","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","共立通2-8-4","6661-8400","24時間","指定緊急避難場所・指定避難所","地震、津波","135.505255828733","34.6391744483954","一時避難場所・災害時避難所"
"もと日東小学校","防災関連施設 - 一時避難場所・災害時避難所","浪速区","日本橋東3-1-23","6632-7046","24時間","指定緊急避難場所・指定避難所","地震、津波","135.508351455699","34.6582157986773","一時避難場所・災害時避難所"
"もと日本橋小学校","防災関連施設 - 一時避難場所・災害時避難所","浪速区","日本橋3-2-27","6641-0544","24時間","指定緊急避難場所・指定避難所","地震、津波","135.506817215286","34.6621063978912","一時避難場所・災害時避難所"
"もと恵美小学校","防災関連施設 - 一時避難場所・災害時避難所","浪速区","恵美須西2-13-9","6643-1212","24時間","指定緊急避難場所・指定避難所","地震、津波","135.502801986923","34.6529016773497","一時避難場所・災害時避難所"
"難波支援学校・なにわ高等支援学校","防災関連施設 - 一時避難場所・災害時避難所","浪速区","木津川2-3-30","6551-0630","24時間","指定緊急避難場所・指定避難所","地震","135.483957149221","34.6592837572414","一時避難場所・災害時避難所"
"生野支援学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽東4-2-47","6758-3784","24時間","指定緊急避難場所・指定避難所","地震、津波","135.558927429587","34.6485159881384","一時避難場所・災害時避難所"
"東淀川支援学校","防災関連施設 - 一時避難場所・災害時避難所","東淀川区","東中島3-5-22","6325-9011","24時間","指定緊急避難場所・指定避難所","地震、津波","135.504665198911","34.7310554099366","一時避難場所・災害時避難所"
"東住吉支援学校","防災関連施設 - 一時避難場所・災害時避難所","東住吉区","矢田5-1-22","6608-9800","-","指定避難所","-","135.528801091048","34.6020773541345","災害時避難所"
"思斉支援学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","大宮5-11-7","6951-4063","24時間","指定緊急避難場所・指定避難所","地震、津波","135.548522092559","34.7306280129997","一時避難場所・災害時避難所"
"大阪南視覚支援学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","山之内1-10-12","6693-3471","24時間","－","地震、津波","135.502962629099","34.6006353034955","一時避難場所・災害時避難所"
"大阪北視覚支援学校","防災関連施設 - 一時避難場所・災害時避難所","東淀川区","豊里7-5-26","6328-7000","24時間","指定緊急避難場所・指定避難所","地震、津波","135.54229144183","34.7431556593361","一時避難場所・災害時避難所"
"光陽支援学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","新森6-8-21","6953-4022","-","指定避難所","-","135.563708263333","34.7178561926607","災害時避難所"
"中央聴覚支援学校","防災関連施設 - 一時避難場所・災害時避難所","中央区","上町1-19-31","6761-1419","24時間","指定緊急避難場所・指定避難所","地震、津波","135.522910458043","34.6776507212321","一時避難場所・災害時避難所"
"柴島高等学校","防災関連施設 - 一時避難場所・災害時避難所","東淀川区","柴島1-7-106","6323-8351","24時間","指定緊急避難場所・指定避難所","地震、津波","135.509710380001","34.7290582415853","一時避難場所・災害時避難所"
"天王寺高等学校","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","三明町2-4-23","6629-6801","24時間","指定緊急避難場所・指定避難所","地震、津波","135.521082827762","34.6394115830917","一時避難場所・災害時避難所"
"北中道幼稚園","防災関連施設 - 一時避難場所・災害時避難所","東成区","中道2-2-19","","24時間","指定緊急避難場所・指定避難所","地震、津波","135.538083611271","34.6806891069399","一時避難場所・災害時避難所"
"(株)ｾﾝﾄﾗﾙ・ｺｰﾙﾄﾞ・ｽﾄﾚｰｼﾞ","防災関連施設 - 一時避難場所・災害時避難所","此花区","桜島3-2-17","6463-3041","24時間","指定緊急避難場所・指定避難所","地震","135.427223780686","34.6628292915624","一時避難場所・災害時避難所"
"成城高等学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","諏訪3-11-41","6962-2801","24時間","指定緊急避難場所・指定避難所","地震、津波","135.561145080294","34.6818089377805","一時避難場所・災害時避難所"
"西淀川高等学校","防災関連施設 - 一時避難場所・災害時避難所","西淀川区","出来島3-3-6","－","24時間","指定緊急避難場所・指定避難所","地震","135.433692473775","34.7023050727773","一時避難場所・災害時避難所"
"出城西公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","出城3","－","24時間","指定緊急避難場所","地震","135.486174300131","34.6498460057311","一時避難場所"
"中津守公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","津守1","－","24時間","指定緊急避難場所","地震","135.485510631156","34.6447318179057","一時避難場所"
"松通東公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","松１","－","24時間","指定緊急避難場所","地震","135.494106012207","34.6412650082434","一時避難場所"
"松通中公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","松２","－","24時間","指定緊急避難場所","地震","135.492244712941","34.6413100025117","一時避難場所"
"弘治南公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","梅南1","－","24時間","指定緊急避難場所","地震","135.495460794285","34.6422569584722","一時避難場所"
"わかくさ公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","北津守4","－","24時間","指定緊急避難場所","地震","135.48098690792","34.6485179527682","一時避難場所"
"梅南２公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","梅南2","－","24時間","指定緊急避難場所","地震","135.492018321965","34.6433362854033","一時避難場所"
"もと梅田東小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","茶屋町2-9","-","-","指定避難所","-","135.499694913246","34.7059236341303","災害時避難所"
"西淡路小学校","防災関連施設 - 一時避難場所・災害時避難所","東淀川区","西淡路5-5-32","6322-5000","24時間","指定緊急避難場所・指定避難所","地震、津波","135.5111891327","34.7423746973688","一時避難場所・災害時避難所"
"もと西淡路小学校","防災関連施設 - 一時避難場所・災害時避難所","東淀川区","西淡路3-14-11","6322-4100","24時間","指定緊急避難場所・指定避難所","地震、津波","135.510011971306","34.7398261584201","一時避難場所・災害時避難所"
"あべの翔学高等学校","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","天王寺町南2-8-19","6719-2801","24時間","指定緊急避難場所・指定避難所","地震、津波","135.525370558949","34.6424039156617","一時避難場所・災害時避難所"
"北区民センター","防災関連施設 - 一時避難場所・災害時避難所","北区","扇町2-1-27","","-","指定避難所","-","135.510465538352","34.70533293717","災害時避難所"
"西淀川高等学校","防災関連施設 - 一時避難場所・災害時避難所","西淀川区","出来島3-3-6","－","24時間","指定緊急避難場所・指定避難所","地震","135.433692473775","34.7023050727773","一時避難場所・災害時避難所"
"山王みどり公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","山王1","－","24時間","指定緊急避難場所","地震","135.505459560781","34.6471226488769","一時避難場所"
"萩之茶屋南公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","萩之茶屋3","－","24時間","指定緊急避難場所","地震","135.500825601511","34.6447727053767","一時避難場所"
"萩之茶屋中公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","萩之茶屋2","－","24時間","指定緊急避難場所","地震","135.500704280852","34.6460898526244","一時避難場所"
"萩之茶屋北公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","萩之茶屋1","－","24時間","指定緊急避難場所","地震","135.501039888907","34.6476253594346","一時避難場所"
"山王第２公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","山王2","－","24時間","指定緊急避難場所","地震","135.507351780476","34.6451484009899","一時避難場所"
"天下茶屋中公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","天下茶屋東2","－","24時間","指定緊急避難場所","地震","135.501520627306","34.6393915320196","一時避難場所"
"天下茶屋東公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","天下茶屋東2","－","24時間","指定緊急避難場所","地震","135.504673466707","34.6400191661584","一時避難場所"
"長橋１公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","長橋1","－","24時間","指定緊急避難場所","地震","135.496186377089","34.6492587251315","一時避難場所"
"出城公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","出城1","－","24時間","指定緊急避難場所","地震","135.494339460232","34.6506049727484","一時避難場所"
"長橋公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","長橋2","－","24時間","指定緊急避難場所","地震","135.492497489976","34.6483730624577","一時避難場所"
"南開公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","南開1","－","24時間","指定緊急避難場所","地震","135.490809962168","34.6511083668218","一時避難場所"
"中北公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","中開2","－","24時間","指定緊急避難場所","地震","135.491183517804","34.6524949109915","一時避難場所"
"開公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","中開3","－","24時間","指定緊急避難場所","地震","135.489336475447","34.6522659855381","一時避難場所"
"北開公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","北開2","－","24時間","指定緊急避難場所","地震","135.488494205339","34.6536929840314","一時避難場所"
"長橋西公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","長橋3","－","24時間","指定緊急避難場所","地震","135.489569529379","34.6483614366993","一時避難場所"
"長橋３公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","長橋3","－","24時間","指定緊急避難場所","地震","135.487592781492","34.649114455992","一時避難場所"
"松之宮公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","鶴見橋3","－","24時間","指定緊急避難場所","地震","135.487144582317","34.6468056180659","一時避難場所"
"鶴見橋公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","鶴見橋3","－","24時間","指定緊急避難場所","地震","135.489714150531","34.6466517271971","一時避難場所"
"旭北公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","鶴見橋2","－","24時間","指定緊急避難場所","地震","135.490425994892","34.6454848278954","一時避難場所"
"鶴見橋中央公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","鶴見橋2","－","24時間","指定緊急避難場所","地震","135.492291803857","34.6465389788985","一時避難場所"
"鶴見橋中公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","鶴見橋1","－","24時間","指定緊急避難場所","地震","135.493351620919","34.6464267398928","一時避難場所"
"鶴見橋東公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","鶴見橋1","－","24時間","指定緊急避難場所","地震","135.495519911312","34.6457427266116","一時避難場所"
"北津守東公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","北津守1","－","24時間","指定緊急避難場所","地震","135.483999017258","34.6550635444673","一時避難場所"
"北津守中公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","北津守2","－","24時間","指定緊急避難場所","地震","135.484879775829","34.6529935295185","一時避難場所"
"北津守西公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","北津守2","－","24時間","指定緊急避難場所","地震","135.48282866491","34.6531219311982","一時避難場所"
"北津守公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","北津守3","－","24時間","指定緊急避難場所","地震","135.481042857822","34.6502057321128","一時避難場所"
"北津守中央公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","北津守3","－","24時間","指定緊急避難場所","地震","135.482701061161","34.6503379438855","一時避難場所"
"北津守４公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","北津守4","－","24時間","指定緊急避難場所","地震","135.482486482805","34.6487277523906","一時避難場所"
"津守南公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","津守3","－","24時間","指定緊急避難場所","地震","135.481936778441","34.638909236088","一時避難場所"
"橘千本北公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","千本北2","－","24時間","指定緊急避難場所","地震","135.486226286484","34.6370677741218","一時避難場所"
"千本西公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","千本北2","－","24時間","指定緊急避難場所","地震","135.486604981925","34.6350562143377","一時避難場所"
"千本北公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","千本北1","－","24時間","指定緊急避難場所","地震","135.490710561591","34.6361198157032","一時避難場所"
"橘第３公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","橘3","－","24時間","指定緊急避難場所","地震","135.4894428832","34.6388555798774","一時避難場所"
"松通公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","松3","－","24時間","指定緊急避難場所","地震","135.489571865138","34.6407266177471","一時避難場所"
"旭西公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","旭3","－","24時間","指定緊急避難場所","地震","135.486999773564","34.6438952663652","一時避難場所"
"北天下茶屋公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","聖天下1","－","24時間","指定緊急避難場所","地震","135.501076263571","34.6376735908508","一時避難場所"
"天神ノ森公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","天神ノ森1","－","24時間","指定緊急避難場所","地震","135.499625034696","34.6318957822168","一時避難場所"
"岸里公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","岸里2","－","24時間","指定緊急避難場所","地震","135.494757277112","34.6311762291539","一時避難場所"
"南海公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","岸里3","－","24時間","指定緊急避難場所","地震","135.493628519668","34.6306943037849","一時避難場所"
"南津守中公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","南津守6","－","24時間","指定緊急避難場所","地震","135.48525465161","34.628673924978","一時避難場所"
"南津守東公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","南津守6","－","24時間","指定緊急避難場所","地震","135.485041965404","34.6271742120759","一時避難場所"
"南津守北公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","南津守4","－","24時間","指定緊急避難場所","地震","135.48463472582","34.6306095206332","一時避難場所"
"千本南公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","千本南2","－","24時間","指定緊急避難場所","地震","135.487724081388","34.6306824947803","一時避難場所"
"南津守中央公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","南津守6,7","－","24時間","指定緊急避難場所","地震","135.482696612276","34.6261342699866","一時避難場所"
"南津守西公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","南津守5","－","24時間","指定緊急避難場所","地震","135.477073568151","34.6272750154506","一時避難場所"
"南津守公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","南津守7","－","24時間","指定緊急避難場所","地震","135.486134627635","34.6242060884501","一時避難場所"
"玉出南公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","玉出中2","－","24時間","指定緊急避難場所","地震","135.491926944813","34.6238186833395","一時避難場所"
"玉出公園","防災関連施設 - 一時避難場所・災害時避難所","西成区","玉出中1","－","24時間","指定緊急避難場所","地震","135.492474226306","34.6275448920504","一時避難場所"
"中本くすのき公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","中本5-2","－","24時間","指定緊急避難場所","地震、津波","135.54142104116","34.6771999062657","一時避難場所"
"滝川小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","天満1-24-15","6351-1582","24時間","指定緊急避難場所・指定避難所","地震、津波","135.519085538481","34.6962987174138","一時避難場所・災害時避難所"
"堀川小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","東天満2-10-7","6358-3336～3337","24時間","指定緊急避難場所・指定避難所","地震、津波","135.513342721704","34.6978311365238","一時避難場所・災害時避難所"
"西天満小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","西天満3-12-21","6364-2222～2223","24時間","指定緊急避難場所・指定避難所","地震、津波","135.507121629318","34.6966553879174","一時避難場所・災害時避難所"
"もと北天満小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","浪花町14-6","-","24時間","指定緊急避難場所","地震、津波","135.509959097636","34.710035064549","一時避難場所"
"扇町小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","扇町2-7-24","6363-0192","24時間","指定緊急避難場所・指定避難所","地震、津波","135.506892218444","34.7044929754459","一時避難場所・災害時避難所"
"菅北小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","菅栄町9-5","6358-1851～1852","24時間","指定緊急避難場所・指定避難所","地震、津波","135.51357015771","34.7088492429995","一時避難場所・災害時避難所"
"堂島地域集会所、堂島・中之島老人憩いの家","防災関連施設 - 一時避難場所・災害時避難所","北区","堂島2-2-26","6345-8899","-","指定避難所","-","135.49419064527","34.6970431498782","災害時避難所"
"豊仁小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","長柄西2-6-20","6351-0500","24時間","指定緊急避難場所・指定避難所","地震、津波","135.513935572811","34.716619662099","一時避難場所・災害時避難所"
"豊崎東小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","長柄中2-3-30","6351-4920","24時間","指定緊急避難場所・指定避難所","地震、津波","135.515713921608","34.7136556464819","一時避難場所・災害時避難所"
"豊崎本庄小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","本庄西2-1-16","6371-0638","24時間","指定緊急避難場所・指定避難所","地震、津波","135.505856836957","34.7128480493174","一時避難場所・災害時避難所"
"豊崎小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","豊崎4-5-9","6371-6058","24時間","指定緊急避難場所・指定避難所","地震","135.500410300867","34.7121795139136","一時避難場所・災害時避難所"
"中津小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","中津3-34-18","6371-2047","24時間","指定緊急避難場所・指定避難所","地震","135.493761527949","34.7136797586898","一時避難場所・災害時避難所"
"大阪Y M C Aｲﾝﾀｰﾅｼｮﾅﾙｽｸｰﾙ","防災関連施設 - 一時避難場所・災害時避難所","北区","中津6-7-34","6345‐1661","24時間","指定緊急避難場所・指定避難所","地震","135.488586331508","34.7085294728567","一時避難場所・災害時避難所"
"大淀小学校","防災関連施設 - 一時避難場所・災害時避難所","北区","大淀中4-10-33","6451-3400","24時間","指定緊急避難場所・指定避難所","地震","135.482704740944","34.7035462453014","一時避難場所・災害時避難所"
"北稜中学校","防災関連施設 - 一時避難場所・災害時避難所","北区","天満橋1-1-58","6351-4259,4270","24時間","指定緊急避難場所・指定避難所","地震、津波","135.520696650763","34.6985630339792","一時避難場所・災害時避難所"
"天満中学校","防災関連施設 - 一時避難場所・災害時避難所","北区","神山町12-9","6313-3717","24時間","指定緊急避難場所・指定避難所","地震、津波","135.506534380015","34.7032420308882","一時避難場所・災害時避難所"
"新豊崎中学校","防災関連施設 - 一時避難場所・災害時避難所","北区","長柄東2-2-30","6353-6632","24時間","指定緊急避難場所・指定避難所","地震、津波","135.517290403736","34.7134788519159","一時避難場所・災害時避難所"
"豊崎中学校","防災関連施設 - 一時避難場所・災害時避難所","北区","本庄東3-4-8","6371-7452","24時間","指定緊急避難場所・指定避難所","地震、津波","135.509311380808","34.7156516708762","一時避難場所・災害時避難所"
"大淀中学校","防災関連施設 - 一時避難場所・災害時避難所","北区","大淀中2-1-11","6458-6991","24時間","指定緊急避難場所・指定避難所","地震","135.486610709994","34.7036092638213","一時避難場所・災害時避難所"
"扇町総合高等学校","防災関連施設 - 一時避難場所・災害時避難所","北区","松ヶ枝町1-38","6351-0036～0037","24時間","指定緊急避難場所・指定避難所","地震、津波","135.517593060944","34.6993045196246","一時避難場所・災害時避難所"
"済美福祉センター、　済美中崎町コミュニティホール","防災関連施設 - 一時避難場所・災害時避難所","北区","中崎西1-6-8","6375-2100","-","指定避難所","-","135.504577995468","34.7076359993015","災害時避難所"
"市立科学館","防災関連施設 - 一時避難場所・災害時避難所","北区","中之島4-2-1","","-","指定避難所","-","135.491691000411","34.6912449968488","災害時避難所"
"菅南幼稚園（運動場）","防災関連施設 - 一時避難場所・災害時避難所","北区","菅原町11-2","6361-6005","24時間","指定緊急避難場所","地震、津波","135.510121005727","34.6938337021307","一時避難場所"
"扇町公園","防災関連施設 - 一時避難場所・災害時避難所","北区","扇町1-1","－","24時間","指定緊急避難場所","地震、津波","135.509071630787","34.7041662259507","一時避難場所"
"南天満公園","防災関連施設 - 一時避難場所・災害時避難所","北区","天神橋1-3ほか","－","24時間","指定緊急避難場所","地震、津波","135.514820225746","34.6918578247536","一時避難場所"
"西天満公園","防災関連施設 - 一時避難場所・災害時避難所","北区","西天満5-7","－","24時間","指定緊急避難場所","地震、津波","135.508047901761","34.6985510596964","一時避難場所"
"東天満公園","防災関連施設 - 一時避難場所・災害時避難所","北区","天満橋1-7","－","24時間","指定緊急避難場所","地震、津波","135.518605986503","34.7007576704601","一時避難場所"
"滝川公園","防災関連施設 - 一時避難場所・災害時避難所","北区","天満4-7","－","24時間","指定緊急避難場所","地震、津波","135.514636026661","34.6941005293446","一時避難場所"
"菅北公園","防災関連施設 - 一時避難場所・災害時避難所","北区","菅栄町4","－","24時間","指定緊急避難場所","地震、津波","135.514564491771","34.708796296425","一時避難場所"
