"場所の名前","カテゴリ","区名","所在地","TEL","避難可能時間","災害対策基本法に基づく指定","避難場所の対象とする災害","経度","緯度","分類"
"新阿波座公園","防災関連施設 - 一時避難場所・災害時避難所","西区","阿波座1-8","－","24時間","指定緊急避難場所","地震","135.495544738844","34.6810404436457","一時避難場所"
"阿波座南公園","防災関連施設 - 一時避難場所・災害時避難所","西区","立売堀2-2","－","24時間","指定緊急避難場所","地震","135.491567931659","34.6797766564412","一時避難場所"
"薩摩堀公園","防災関連施設 - 一時避難場所・災害時避難所","西区","立売堀4-2","－","24時間","指定緊急避難場所","地震","135.488231620896","34.6806124472879","一時避難場所"
"島津公園","防災関連施設 - 一時避難場所・災害時避難所","西区","立売堀5-4","－","24時間","指定緊急避難場所","地震","135.485479264454","34.679501534139","一時避難場所"
"新町北公園","防災関連施設 - 一時避難場所・災害時避難所","西区","新町1-15","－","24時間","指定緊急避難場所","地震","135.495056083372","34.6780525512198","一時避難場所"
"新町南公園","防災関連施設 - 一時避難場所・災害時避難所","西区","新町2-6","－","24時間","指定緊急避難場所","地震","135.492826361361","34.6763657934863","一時避難場所"
"立売堀公園","防災関連施設 - 一時避難場所・災害時避難所","西区","新町3-1","－","24時間","指定緊急避難場所","地震","135.490478342013","34.6780680571225","一時避難場所"
"新町西公園","防災関連施設 - 一時避難場所・災害時避難所","西区","新町4-5","－","24時間","指定緊急避難場所","地震","135.486427885035","34.6764281540626","一時避難場所"
"阿弥陀池公園","防災関連施設 - 一時避難場所・災害時避難所","西区","北堀江3-3","－","24時間","指定緊急避難場所","地震","135.489928985772","34.6738551444876","一時避難場所"
"西長堀公園","防災関連施設 - 一時避難場所・災害時避難所","西区","北堀江4-1","－","24時間","指定緊急避難場所","地震","135.486278313621","34.6754870337227","一時避難場所"
"土佐公園","防災関連施設 - 一時避難場所・災害時避難所","西区","北堀江4-9","－","24時間","指定緊急避難場所","地震","135.485187767021","34.6742840931705","一時避難場所"
"堀江公園","防災関連施設 - 一時避難場所・災害時避難所","西区","南堀江1-13","－","24時間","指定緊急避難場所","地震","135.494743124947","34.6721990341095","一時避難場所"
"南堀江公園","防災関連施設 - 一時避難場所・災害時避難所","西区","南堀江2-8","－","24時間","指定緊急避難場所","地震","135.490778526766","34.6705301694552","一時避難場所"
"高台橋公園","防災関連施設 - 一時避難場所・災害時避難所","西区","南堀江3-1","－","24時間","指定緊急避難場所","地震","135.489821313097","34.6723375436723","一時避難場所"
"日吉公園","防災関連施設 - 一時避難場所・災害時避難所","西区","南堀江4-9","－","24時間","指定緊急避難場所","地震","135.485145024732","34.6711573252798","一時避難場所"
"松島公園","防災関連施設 - 一時避難場所・災害時避難所","西区","千代崎1-3外","－","24時間","指定緊急避難場所","地震","135.480956713427","34.6767752931766","一時避難場所"
"本田公園","防災関連施設 - 一時避難場所・災害時避難所","西区","本田3-8","－","24時間","指定緊急避難場所","地震","135.474251845565","34.6781512439438","一時避難場所"
"九条東公園","防災関連施設 - 一時避難場所・災害時避難所","西区","九条2-19","－","24時間","指定緊急避難場所","地震","135.471631240959","34.6757418926315","一時避難場所"
"九条公園","防災関連施設 - 一時避難場所・災害時避難所","西区","九条南1-1","－","24時間","指定緊急避難場所","地震","135.477175738412","34.6718930529242","一時避難場所"
"九条南公園","防災関連施設 - 一時避難場所・災害時避難所","西区","九条南2-19","－","24時間","指定緊急避難場所","地震","135.472538756896","34.6722289663444","一時避難場所"
"九条北公園","防災関連施設 - 一時避難場所・災害時避難所","西区","九条南4-19","－","24時間","指定緊急避難場所","地震","135.467494236472","34.6757865454645","一時避難場所"
"市岡高等学校","防災関連施設 - 一時避難場所・災害時避難所","港区","市岡元町2-12-12","6582-0330","24時間","指定緊急避難場所・指定避難所","地震","135.465987335648","34.6673242368217","一時避難場所・災害時避難所"
"港高等学校","防災関連施設 - 一時避難場所・災害時避難所","港区","波除2-3-1","6583-1401","24時間","指定緊急避難場所・指定避難所","地震","135.465420831193","34.6711106511419","一時避難場所・災害時避難所"
"市岡中学校","防災関連施設 - 一時避難場所・災害時避難所","港区","磯路1-5-21","6572-7231","24時間","指定緊急避難場所・指定避難所","地震","135.461699536278","34.6664702848117","一時避難場所・災害時避難所"
"市岡東中学校","防災関連施設 - 一時避難場所・災害時避難所","港区","市岡元町3-2-18","6582-8580","24時間","指定緊急避難場所・指定避難所","地震","135.465231125833","34.6666830232393","一時避難場所・災害時避難所"
"港中学校","防災関連施設 - 一時避難場所・災害時避難所","港区","池島1-5-35","6572-4461","24時間","指定緊急避難場所・指定避難所","地震","135.448553275586","34.6578837422114","一時避難場所・災害時避難所"
"港南中学校","防災関連施設 - 一時避難場所・災害時避難所","港区","三先1-5-28","6573-0051","24時間","指定緊急避難場所・指定避難所","地震","135.456575439992","34.6605192730262","一時避難場所・災害時避難所"
"築港中学校","防災関連施設 - 一時避難場所・災害時避難所","港区","築港1-2-41","6575-3092","24時間","指定緊急避難場所・指定避難所","地震","135.43794794235","34.652783086028","一時避難場所・災害時避難所"
"波除小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","波除3-6-8","6583-4000","24時間","指定緊急避難場所・指定避難所","地震","135.462290688435","34.6715098206355","一時避難場所・災害時避難所"
"弁天小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","弁天2-9-35","6573-5812","24時間","指定緊急避難場所・指定避難所","地震","135.455717999178","34.66872896993","一時避難場所・災害時避難所"
"磯路小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","磯路3-7-7","6571-0355","24時間","指定緊急避難場所・指定避難所","地震","135.456971324109","34.6650228496142","一時避難場所・災害時避難所"
"南市岡小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","南市岡2-6-35","6582-0390","24時間","指定緊急避難場所・指定避難所","地震","135.468840837432","34.6658151622212","一時避難場所・災害時避難所"
"市岡小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","市岡3-2-24","6571-0550","24時間","指定緊急避難場所・指定避難所","地震","135.464518401934","34.6635193383582","一時避難場所・災害時避難所"
"田中小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","田中2-10-34","6573-0031","24時間","指定緊急避難場所・指定避難所","地震","135.446959342725","34.6631684441056","一時避難場所・災害時避難所"
"三先小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","三先2-6-32","6571-0019","24時間","指定緊急避難場所・指定避難所","地震","135.452977716265","34.6593962660857","一時避難場所・災害時避難所"
"池島小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","池島2-5-47","6571-4354","24時間","指定緊急避難場所・指定避難所","地震","135.451294013009","34.6553927945118","一時避難場所・災害時避難所"
"八幡屋小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","八幡屋3-3-5","6571-0013","24時間","指定緊急避難場所・指定避難所","地震","135.445711858395","34.6546342492134","一時避難場所・災害時避難所"
"港晴小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","港晴1-3-12","6574-6636","24時間","指定緊急避難場所・指定避難所","地震","135.444120147472","34.656325636603","一時避難場所・災害時避難所"
"築港小学校","防災関連施設 - 一時避難場所・災害時避難所","港区","築港1-10-38","6573-2445","24時間","指定緊急避難場所・指定避難所","地震","135.435708546797","34.6528058104831","一時避難場所・災害時避難所"
"抱月小公園","防災関連施設 - 一時避難場所・災害時避難所","港区","波除4-6","－","24時間","指定緊急避難場所","地震","135.463273817592","34.6742947917844","一時避難場所"
"抱月公園","防災関連施設 - 一時避難場所・災害時避難所","港区","波除2-2","－","24時間","指定緊急避難場所","地震","135.465247684321","34.6720035840753","一時避難場所"
"波除公園","防災関連施設 - 一時避難場所・災害時避難所","港区","波除5-5","－","24時間","指定緊急避難場所","地震","135.461202844945","34.6740055753301","一時避難場所"
"市岡小公園","防災関連施設 - 一時避難場所・災害時避難所","港区","市岡元町2-9","－","24時間","指定緊急避難場所","地震","135.466967518932","34.6687685337776","一時避難場所"
"市岡元町公園","防災関連施設 - 一時避難場所・災害時避難所","港区","市岡元町3-12","－","24時間","指定緊急避難場所","地震","135.464292583085","34.667026380388","一時避難場所"
"南市岡公園","防災関連施設 - 一時避難場所・災害時避難所","港区","南市岡2-7","－","24時間","指定緊急避難場所","地震","135.468227378476","34.6658262810487","一時避難場所"
"弁天東公園","防災関連施設 - 一時避難場所・災害時避難所","港区","弁天5-12","－","24時間","指定緊急避難場所","地震","135.456662529739","34.6730199352038","一時避難場所"
"弁天埠頭公園","防災関連施設 - 一時避難場所・災害時避難所","港区","弁天6-7","－","24時間","指定緊急避難場所","地震","135.453555125362","34.6727028594847","一時避難場所"
"弁天西公園","防災関連施設 - 一時避難場所・災害時避難所","港区","弁天2-4","－","24時間","指定緊急避難場所","地震","135.457028474729","34.6683025944674","一時避難場所"
"弁天公園","防災関連施設 - 一時避難場所・災害時避難所","港区","弁天3-5","－","24時間","指定緊急避難場所","地震","135.453561247241","34.6675949155458","一時避難場所"
"磯路中央公園","防災関連施設 - 一時避難場所・災害時避難所","港区","磯路2-17","－","24時間","指定緊急避難場所","地震","135.458875557334","34.6657482594877","一時避難場所"
"市岡西公園","防災関連施設 - 一時避難場所・災害時避難所","港区","市岡1-15","－","24時間","指定緊急避難場所","地震","135.460642025089","34.663657148504","一時避難場所"
"市岡浜公園","防災関連施設 - 一時避難場所・災害時避難所","港区","市岡4-2","－","24時間","指定緊急避難場所","地震","135.462528198541","34.6608094055431","一時避難場所"
"市岡公園","防災関連施設 - 一時避難場所・災害時避難所","港区","市岡4-6","－","24時間","指定緊急避難場所","地震","135.461692397678","34.6598794078066","一時避難場所"
"石田公園","防災関連施設 - 一時避難場所・災害時避難所","港区","田中1-7","－","24時間","指定緊急避難場所","地震","135.449444875438","34.6661084605164","一時避難場所"
"東田中公園","防災関連施設 - 一時避難場所・災害時避難所","港区","田中1-1","－","24時間","指定緊急避難場所","地震","135.451573458559","34.6653001698514","一時避難場所"
"夕凪公園","防災関連施設 - 一時避難場所・災害時避難所","港区","夕凪2-6","－","24時間","指定緊急避難場所","地震","135.451863812983","34.6628246883844","一時避難場所"
"港南公園","防災関連施設 - 一時避難場所・災害時避難所","港区","三先1-5","－","24時間","指定緊急避難場所","地震","135.456592610557","34.6610043166137","一時避難場所"
"三先公園","防災関連施設 - 一時避難場所・災害時避難所","港区","三先2-3","－","24時間","指定緊急避難場所","地震","135.452502794766","34.6597694328018","一時避難場所"
"池島公園","防災関連施設 - 一時避難場所・災害時避難所","港区","池島2-4","－","24時間","指定緊急避難場所","地震","135.451969581585","34.6569562744199","一時避難場所"
"入舟公園","防災関連施設 - 一時避難場所・災害時避難所","港区","八幡屋1-4","－","24時間","指定緊急避難場所","地震","135.447625111045","34.6570722480351","一時避難場所"
"入舟南公園","防災関連施設 - 一時避難場所・災害時避難所","港区","八幡屋3-4","－","24時間","指定緊急避難場所","地震","135.446625538122","34.6542696726821","一時避難場所"
"八幡屋南公園","防災関連施設 - 一時避難場所・災害時避難所","港区","八幡屋4-3","－","24時間","指定緊急避難場所","地震","135.447542864153","34.6522543234207","一時避難場所"
"港晴北公園","防災関連施設 - 一時避難場所・災害時避難所","港区","港晴4-17","－","24時間","指定緊急避難場所","地震","135.440017612963","34.6572319026451","一時避難場所"
"港晴南公園","防災関連施設 - 一時避難場所・災害時避難所","港区","港晴2-8","－","24時間","指定緊急避難場所","地震","135.441255877737","34.6554829757043","一時避難場所"
"港晴東公園","防災関連施設 - 一時避難場所・災害時避難所","港区","港晴3-11","－","24時間","指定緊急避難場所","地震","135.441889975052","34.6591734492929","一時避難場所"
"天保山公園","防災関連施設 - 一時避難場所・災害時避難所","港区","築港3-2","－","24時間","指定緊急避難場所","地震","135.432581894185","34.6574739102136","一時避難場所"
"築港南公園","防災関連施設 - 一時避難場所・災害時避難所","港区","築港1-2","－","24時間","指定緊急避難場所","地震","135.437489606394","34.6532193315616","一時避難場所"
"市岡中央公園","防災関連施設 - 一時避難場所・災害時避難所","港区","市岡1-3","－","24時間","指定緊急避難場所","地震","135.463583125258","34.663784273402","一時避難場所"
"南市岡西公園","防災関連施設 - 一時避難場所・災害時避難所","港区","南市岡2-12","－","24時間","指定緊急避難場所","地震","135.467823792675","34.6651277433579","一時避難場所"
"泉尾高等学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","泉尾3-19-50","6552-0026","24時間","指定緊急避難場所・指定避難所","地震","135.470822332521","34.6588336774756","一時避難場所・災害時避難所"
"泉尾工業高等学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","泉尾5-16-7","6552-2221","24時間","指定緊急避難場所・指定避難所","地震","135.468423592517","34.6547976549249","一時避難場所・災害時避難所"
"大正高等学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","泉尾7-11-20","6554-3100","24時間","指定緊急避難場所・指定避難所","地震","135.465731653549","34.6567916877424","一時避難場所・災害時避難所"
"大正東中学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","三軒家東4-4-30","6551-0630","24時間","指定緊急避難場所・指定避難所","地震","135.478214156462","34.6620115911207","一時避難場所・災害時避難所"
"大正北中学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","北村3-1-1","6554-6050","24時間","指定緊急避難場所・指定避難所","地震","135.469036701504","34.6500998728204","一時避難場所・災害時避難所"
"大正中央中学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","小林東3-23-5","6552-6565","24時間","指定緊急避難場所・指定避難所","地震","135.472123704555","34.6440774248628","一時避難場所・災害時避難所"
"大正西中学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","南恩加島6-14-37","6551-0294","24時間","指定緊急避難場所・指定避難所","地震","135.46509869371","34.6364402977556","一時避難場所・災害時避難所"
"三軒家西小学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","三軒家西1-20-26","6551-0022","24時間","指定緊急避難場所・指定避難所","地震","135.477074772055","34.664710888659","一時避難場所・災害時避難所"
"三軒家東小学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","三軒家東2-12-63","6551-4508","24時間","指定緊急避難場所・指定避難所","地震","135.479071331572","34.6607639327816","一時避難場所・災害時避難所"
"泉尾東小学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","千島1-16-16","6551-0081","24時間","指定緊急避難場所・指定避難所","地震","135.474591668967","34.6538365491161","一時避難場所・災害時避難所"
"泉尾北小学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","泉尾2-21-24","6551-0028","24時間","指定緊急避難場所・指定避難所","地震","135.470924261124","34.6605305100655","一時避難場所・災害時避難所"
"中泉尾小学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","泉尾3-23-34","6551-0068","24時間","指定緊急避難場所・指定避難所","地震","135.469261058455","34.6591840697486","一時避難場所・災害時避難所"
"北恩加島小学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","泉尾5-17-31","6551-0020","24時間","指定緊急避難場所・指定避難所","地震","135.468583098655","34.6544016582852","一時避難場所・災害時避難所"
"小林小学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","小林東2-4-45","6553-0010","24時間","指定緊急避難場所・指定避難所","地震","135.4740515553","34.646520758512","一時避難場所・災害時避難所"
"平尾小学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","平尾2-21-28","6551-8600","24時間","指定緊急避難場所・指定避難所","地震","135.473980120733","34.6407195480057","一時避難場所・災害時避難所"
"南恩加島小学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","南恩加島3-6-11","6551-0047","24時間","指定緊急避難場所・指定避難所","地震","135.469310584199","34.6366389643091","一時避難場所・災害時避難所"
"鶴町小学校","防災関連施設 - 一時避難場所・災害時避難所","大正区","鶴町2-6-24","6551-0023","24時間","指定緊急避難場所・指定避難所","地震","135.456035917943","34.6395071872457","一時避難場所・災害時避難所"
"埋蔵文化財鶴浜収蔵倉庫","防災関連施設 - 一時避難場所・災害時避難所","大正区","鶴町2-20-26","－","24時間","指定緊急避難場所・指定避難所","地震","135.453069623272","34.6382561528353","一時避難場所・災害時避難所"
"大正橋公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","三軒家東1-1","－","24時間","指定緊急避難場所","地震","135.479988102752","34.6669476453724","一時避難場所"
"泉尾上公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","泉尾1-29","－","24時間","指定緊急避難場所","地震","135.474545507712","34.660659742684","一時避難場所"
"三軒家公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","三軒家東2-12","－","24時間","指定緊急避難場所","地震","135.478948442729","34.6596927193672","一時避難場所"
"平尾亥開公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","南恩加島1-10　平尾1-11","－","24時間","指定緊急避難場所","地震","135.476053484761","34.6377034800558","一時避難場所"
"泉尾公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","泉尾4-21","－","24時間","指定緊急避難場所","地震","135.468892818712","34.6566510965923","一時避難場所"
"鶴町中央公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","鶴町2-7","－","24時間","指定緊急避難場所","地震","135.45568089536","34.6387444650869","一時避難場所"
"南泉尾公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","千島1-16","－","24時間","指定緊急避難場所","地震","135.475264077906","34.6544318278452","一時避難場所"
"鶴町南公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","鶴町1-19","－","24時間","指定緊急避難場所","地震","135.454932533979","34.6357662653675","一時避難場所"
"南恩加島公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","南恩加島1-13","－","24時間","指定緊急避難場所","地震","135.472080422547","34.6343896904764","一時避難場所"
"鶴町北公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","鶴町4-4","－","24時間","指定緊急避難場所","地震","135.45458147417","34.6442184940042","一時避難場所"
"小林南公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","小林西2-16","－","24時間","指定緊急避難場所","地震","135.467781640267","34.6428654183007","一時避難場所"
